,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.5971812605857849,0.7778333425521851,0.3787897825241089,0.8586999773979187
1,0.3771301209926605,0.8619999885559082,0.3117969334125519,0.8817999958992004
2,0.32711952924728394,0.880299985408783,0.2816499173641205,0.8938000202178955
3,0.3042747974395752,0.8875666856765747,0.28018343448638916,0.8953999876976013
4,0.2821064591407776,0.8961499929428101,0.28004345297813416,0.892300009727478
5,0.26734939217567444,0.9008333086967468,0.2570072412490845,0.9032999873161316
6,0.25439271330833435,0.9048666954040527,0.24895872175693512,0.9067999720573425
7,0.24765044450759888,0.9077500104904175,0.23802605271339417,0.9083999991416931
8,0.23637893795967102,0.9118833541870117,0.2286830097436905,0.9118000268936157
9,0.22983330488204956,0.915149986743927,0.22635823488235474,0.9146000146865845
10,0.22195717692375183,0.9172666668891907,0.226751908659935,0.9178000092506409
11,0.21734483540058136,0.9181666374206543,0.22072309255599976,0.914900004863739
12,0.2093227505683899,0.9211333394050598,0.2257770299911499,0.916100025177002
13,0.20095188915729523,0.9245166778564453,0.22150163352489471,0.9175999760627747
14,0.1980028599500656,0.9248833060264587,0.22065502405166626,0.9175999760627747
15,0.1931535303592682,0.9260833263397217,0.21811436116695404,0.9185000061988831
16,0.1904207170009613,0.9277166724205017,0.2414061725139618,0.9093000292778015
17,0.18439136445522308,0.9302166700363159,0.2174173891544342,0.9217000007629395
18,0.18099375069141388,0.9305999875068665,0.21893693506717682,0.9178000092506409
19,0.17627765238285065,0.9325833320617676,0.21574853360652924,0.9226999878883362
20,0.17492464184761047,0.9336833357810974,0.21398910880088806,0.921500027179718
21,0.16860121488571167,0.9360499978065491,0.21243403851985931,0.92330002784729
22,0.1670432686805725,0.9361166954040527,0.2196638137102127,0.9172999858856201
23,0.16323116421699524,0.9387666583061218,0.2224760800600052,0.9175999760627747
24,0.1603889912366867,0.9381166696548462,0.21205075085163116,0.9207000136375427
